1,1,101,10/07/2026,15/07/2026,En curso
2,2,102,11/07/2026,14/07/2026,En curso
3,3,103,12/07/2026,16/07/2026,En curso
4,4,105,18/07/2026,22/07/2026,En curso
5,5,107,20/07/2026,24/07/2026,En curso
6,6,111,22/07/2026,27/07/2026,En curso
7,7,112,25/07/2026,30/07/2026,En curso
8,8,104,05/08/2026,10/08/2026,Activa
9,9,106,08/08/2026,12/08/2026,Activa
10,10,108,10/08/2026,14/08/2026,Activa
11,11,109,12/08/2026,17/08/2026,Activa
12,12,110,15/08/2026,20/08/2026,Activa
13,2,113,22/08/2026,28/08/2026,Activa
14,5,101,01/06/2026,05/06/2026,Finalizada
15,8,105,10/06/2026,15/06/2026,Finalizada
16,10,107,20/06/2026,25/06/2026,Finalizada
